i=14, j=1, k=6, Temperature=23.4147
i=15, j=1, k=6, Temperature=22.2765
i=16, j=1, k=6, Temperature=21.2019
i=0, j=1, k=7, Temperature=19.494
i=1, j=1, k=7, Temperature=20.8239
i=2, j=1, k=7, Temperature=22.2115
i=3, j=1, k=7, Temperature=23.6707
i=4, j=1, k=7, Temperature=25.6665
i=5, j=1, k=7, Temperature=28.7775
i=6, j=1, k=7, Temperature=30.6754
i=7, j=1, k=7, Temperature=31.3154
i=8, j=1, k=7, Temperature=31.8085
i=9, j=1, k=7, Temperature=31.3245
i=10, j=1, k=7, Temperature=30.6971
i=11, j=1, k=7, Temperature=28.9372
i=12, j=1, k=7, Temperature=26.1665
i=13, j=1, k=7, Temperature=24.5279
i=14, j=1, k=7, Temperature=23.342
i=15, j=1, k=7, Temperature=22.2319
i=16, j=1, k=7, Temperature=21.1966
i=0, j=1, k=8, Temperature=19.3872
i=1, j=1, k=8, Temperature=19.7115
i=2, j=1, k=8, Temperature=20.2272
i=3, j=1, k=8, Temperature=21.1546
i=4, j=1, k=8, Temperature=23.3833
i=5, j=1, k=8, Temperature=26.9454
i=6, j=1, k=8, Temperature=28.6418
i=7, j=1, k=8, Temperature=28.9305
i=8, j=1, k=8, Temperature=29.0562
i=9, j=1, k=8, Temperature=28.9524
i=10, j=1, k=8, Temperature=28.6496
i=11, j=1, k=8, Temperature=27.008
i=12, j=1, k=8, Temperature=23.5943
i=13, j=1, k=8, Temperature=21.4654
i=14, j=1, k=8, Temperature=20.7234
i=15, j=1, k=8, Temperature=20.5708
i=16, j=1, k=8, Temperature=20.9312
i=0, j=2, k=0, Temperature=22.3
i=1, j=2, k=0, Temperature=19.9003
i=2, j=2, k=0, Temperature=22.3047
i=3, j=2, k=0, Temperature=24.7507
i=4, j=2, k=0, Temperature=9.6809
i=5, j=2, k=0, Temperature=30.58
i=6, j=2, k=0, Temperature=30.6702
i=7, j=2, k=0, Temperature=46.0892
i=8, j=2, k=0, Temperature=55.7509
i=9, j=2, k=0, Temperature=47.4427
i=10, j=2, k=0, Temperature=30.6651
i=11, j=2, k=0, Temperature=30.58
i=12, j=2, k=0, Temperature=9.68093
i=13, j=2, k=0, Temperature=24.7511
i=14, j=2, k=0, Temperature=22.3053
i=15, j=2, k=0, Temperature=19.9003
i=16, j=2, k=0, Temperature=22.3
i=0, j=2, k=1, Temperature=22.3
i=1, j=2, k=1, Temperature=19.0967
i=2, j=2, k=1, Temperature=19.7364
i=3, j=2, k=1, Temperature=21.0849
i=4, j=2, k=1, Temperature=23.9328
i=5, j=2, k=1, Temperature=27.4778
i=6, j=2, k=1, Temperature=29.5904
i=7, j=2, k=1, Temperature=30.4979
i=8, j=2, k=1, Temperature=31.9953
i=9, j=2, k=1, Temperature=30.898
i=10, j=2, k=1, Temperature=29.6011
i=11, j=2, k=1, Temperature=27.8346
i=12, j=2, k=1, Temperature=24.9401
i=13, j=2, k=1, Temperature=22.5487
i=14, j=2, k=1, Temperature=21.7369
i=15, j=2, k=1, Temperature=21.6823
i=16, j=2, k=1, Temperature=22.3
i=0, j=2, k=2, Temperature=22.3
i=1, j=2, k=2, Temperature=19.1171
i=2, j=2, k=2, Temperature=20.2126
i=3, j=2, k=2, Temperature=22.0141
i=4, j=2, k=2, Temperature=24.9181
i=5, j=2, k=2, Temperature=28.7608
i=6, j=2, k=2, Temperature=31.0701
i=7, j=2, k=2, Temperature=31.8831
i=8, j=2, k=2, Temperature=32.5922
i=9, j=2, k=2, Temperature=31.7671
i=10, j=2, k=2, Temperature=31.1055
i=11, j=2, k=2, Temperature=29.2936
i=12, j=2, k=2, Temperature=26.4655
i=13, j=2, k=2, Temperature=24.4132
i=14, j=2, k=2, Temperature=23.0103
i=15, j=2, k=2, Temperature=21.8064
i=16, j=2, k=2, Temperature=22.3
i=0, j=2, k=3, Temperature=22.3
i=1, j=2, k=3, Temperature=19.2321
i=2, j=2, k=3, Temperature=21.3518
i=3, j=2, k=3, Temperature=24.2452
i=4, j=2, k=3, Temperature=28.6607
i=5, j=2, k=3, Temperature=32.953
i=6, j=2, k=3, Temperature=35.5383
i=7, j=2, k=3, Temperature=36.7126
i=8, j=2, k=3, Temperature=38.0343
i=9, j=2, k=3, Temperature=36.0239
i=10, j=2, k=3, Temperature=35.6998
i=11, j=2, k=3, Temperature=33.5193
i=12, j=2, k=3, Temperature=30.1948
i=13, j=2, k=3, Temperature=26.6203
i=14, j=2, k=3, Temperature=24.1143
i=15, j=2, k=3, Temperature=21.8775
i=16, j=2, k=3, Temperature=22.3
i=0, j=2, k=4, Temperature=22.3
i=1, j=2, k=4, Temperature=19.2341
i=2, j=2, k=4, Temperature=21.3726
i=3, j=2, k=4, Temperature=24.2717
i=4, j=2, k=4, Temperature=28.6814
i=5, j=2, k=4, Temperature=32.953
i=6, j=2, k=4, Temperature=35.5254
i=7, j=2, k=4, Temperature=36.6976
i=8, j=2, k=4, Temperature=38.0184
i=9, j=2, k=4, Temperature=36.0084
i=10, j=2, k=4, Temperature=35.6836
i=11, j=2, k=4, Temperature=33.5058
i=12, j=2, k=4, Temperature=30.1884
i=13, j=2, k=4, Temperature=26.6135
i=14, j=2, k=4, Temperature=24.1099
i=15, j=2, k=4, Temperature=21.8771
i=16, j=2, k=4, Temperature=22.3
i=0, j=2, k=5, Temperature=22.3
i=1, j=2, k=5, Temperature=20.782
i=2, j=2, k=5, Temperature=21.7768
i=3, j=2, k=5, Temperature=23.1442
i=4, j=2, k=5, Temperature=25.2242
i=5, j=2, k=5, Temperature=28.4313
i=6, j=2, k=5, Temperature=30.3953
i=7, j=2, k=5, Temperature=31.1558
i=8, j=2, k=5, Temperature=31.8413
